Name,Rating,Games,Moves,CPL,MM,Sort Score,Analysis
Daniel Moreno Gracia,2176,5,160,78,37,-41,D
Mark E Taimanov,2406,6,162,44,47,3,D
Daniel Moreno Gracia,2176,5,162,81,36,-45,C
Raul Garcia,2233,5,162,51,56,5,A
Mark E Taimanov,2406,6,163,49,48,-1,A
Antonio Labena Bernal,2003,5,165,43,50,7,D
Daniel Moreno Gracia,2176,5,166,83,36,-47,A
Antonio Labena Bernal,2003,5,167,48,49,1,C
Maksim Shapovalenko,2230,5,168,60,52,-8,B
Aitor Alcaide Luque,2100,6,169,62,45,-17,D
Santiago Arjona Martinez,1985,5,169,54,44,-10,D
Oskar Von Bahr,2320,6,170,49,55,6,D
Kalle Kiik,2445,4,170,53,46,-7,A
Kalle Kiik,2445,4,170,55,40,-15,C
Kalle Kiik,2445,4,170,51,43,-8,D
Eva Jiretorn,2122,4,170,38,55,17,B
Axel Smith,2458,5,170,42,51,9,B
Jordi Magem Badals,2487,8,170,32,59,27,A
Jordi Magem Badals,2487,8,170,31,59,28,C
Jordi Magem Badals,2487,8,170,30,59,29,D
Antonio Labena Bernal,2003,5,170,42,53,11,A
Santiago Arjona Martinez,1985,5,170,48,49,1,C
Oskar Von Bahr,2320,6,171,56,54,-2,C
Aitor Alcaide Luque,2100,6,171,51,46,-5,C
Oskar Von Bahr,2320,6,173,51,56,5,B
Konstantin Sakaev,2665,5,173,31,58,27,C
Santiago Arjona Martinez,1985,5,173,59,49,-10,A
Florian Handke,2504,5,174,49,55,6,B
Tomas Karlsson,2249,5,174,37,56,19,D
Mikko Niemi,2178,5,174,36,51,15,C
Erik Blomqvist,2302,8,175,56,53,-3,D
Alexander Morozevich,2747,5,175,26,63,37,C
Tomas Karlsson,2249,5,176,39,55,16,C
Aitor Alcaide Luque,2100,6,176,62,42,-20,A
Erik Blomqvist,2302,8,177,66,49,-17,A
Oskar Von Bahr,2320,6,178,52,55,3,A
Tomas Karlsson,2249,5,178,38,53,15,A
Nikita Meskovs,2124,6,179,64,46,-18,C
Garry Kasparov,2813,4,179,21,61,40,B
Evgeny E. Vorobiov,2552,8,179,41,53,12,C
Evgeny Romanov,2392,6,180,36,53,17,C
Evgeny E. Vorobiov,2552,8,180,41,56,15,D
Evgeny E. Vorobiov,2552,8,181,49,52,3,A
Daniel Gomez Anadon,2268,5,182,52,50,-2,D
Adrian Villuendas Valero,2176,6,183,41,55,14,B
Pontus Carlsson,2501,7,184,37,54,17,D
Ekaterina Kovalevskaya,2452,7,185,39,54,15,D
Daniel Gomez Anadon,2268,5,185,56,51,-5,C
Ekaterina Kovalevskaya,2452,7,187,40,53,13,A
Mikel Huerga Leache,2315,7,187,38,52,14,D
Daniel Gomez Anadon,2268,5,187,56,50,-6,A
Manuel Perez Candelario,2496,7,188,46,48,2,C
Alexander Khalifman,2668,6,189,38,48,10,A
Alexander Khalifman,2668,6,189,36,51,15,C
Alexander Khalifman,2668,6,189,35,53,18,D
Alexander Galkin,2602,7,189,34,58,24,A
Alexander Galkin,2602,7,189,29,61,32,D
Alexei Shirov,2710,7,189,46,50,4,A
Alexei Shirov,2710,7,189,34,56,22,C
Alexei Shirov,2710,7,189,32,56,24,D
Mikel Huerga Leache,2315,7,189,42,51,9,C
Eduardo Burguete Archel,2151,4,189,48,52,4,D
Pontus Carlsson,2501,7,190,43,52,9,A
Olga Stjazhkina,2325,5,190,47,47,0,A
Olga Stjazhkina,2325,5,190,42,50,8,D
Alexander Khalifman,2668,6,190,35,50,15,B
Konstantin Landa,2550,6,190,39,47,8,A
Konstantin Landa,2550,6,190,33,54,21,D
Eduardo Ros Octavio De Toledo,2166,5,191,37,48,11,D
Krisztian Szabo,2500,3,192,48,51,3,B
Josef Ask,2235,6,192,44,56,12,D
Mikel Huerga Leache,2315,7,192,43,49,6,A
Eduardo Ros Octavio De Toledo,2166,5,192,45,48,3,A
Anders Livner,2281,5,193,35,51,16,C
Sergey Dolmatov,2573,7,193,36,46,10,A
Sergey Dolmatov,2573,7,193,38,51,13,C
Sergey Dolmatov,2573,7,193,39,49,10,D
Rodrigo Vasquez Schroeder,2481,4,194,38,51,13,B
Radoslaw Wojtaszek,2614,8,195,38,57,19,A
Radoslaw Wojtaszek,2614,8,195,30,60,30,C
Radoslaw Wojtaszek,2614,8,195,31,61,30,D
Alain Spielmann,2308,6,196,40,53,13,D
Gustavo Barrenechea Bahamonde,2191,7,196,43,55,12,D
Alain Spielmann,2308,6,197,49,53,4,A
Alain Spielmann,2308,6,197,42,53,11,C
Vitaly Tseshkovsky,2577,6,197,49,51,2,B
Josef Ask,2235,6,198,54,51,-3,A
Gustavo Barrenechea Bahamonde,2191,7,198,43,56,13,C
Veselin Topalov,2645,6,199,38,60,22,C
Veselin Topalov,2645,6,199,34,65,31,D
Gustavo Barrenechea Bahamonde,2191,7,199,48,52,4,A
Eduardo Burguete Archel,2151,4,199,40,49,9,A
Harriet V Hunt,2389,5,201,42,54,12,A
Harriet V Hunt,2389,5,201,37,54,17,D
Juan Manuel Bellon Lopez,2455,5,201,32,59,27,C
Tatiana Shumiakina,2364,6,202,60,41,-19,D
Veselin Topalov,2645,6,202,43,58,15,A
Tatiana Shumiakina,2364,6,203,69,35,-34,A
Evgeny Gleizerov,2592,9,203,54,56,2,D
Radoslaw Wojtaszek,2630,6,204,35,55,20,D
Vladimir Epishin,2599,6,206,31,53,22,B
Evgeny Gleizerov,2592,9,206,59,52,-7,A
Radoslaw Wojtaszek,2630,6,206,40,54,14,A
Nikita Meskovs,2124,7,207,69,44,-25,D
Vladimir Dobrov,2477,7,207,50,52,2,C
Ralf Akesson,2440,6,208,42,52,10,C
Alexander Lastin,2622,6,208,35,58,23,D
Jens Ove Fries-Nielsen,2444,7,209,45,47,2,D
Alexander Lastin,2622,6,210,45,48,3,A
Miguel Illescas Cordoba,2620,7,210,41,55,14,D
Jens Ove Fries-Nielsen,2444,7,211,46,47,1,A
Kristian Trygstad,2299,6,212,44,57,13,A
Kristian Trygstad,2299,6,212,41,57,16,D
Miguel Illescas Cordoba,2620,7,212,50,55,5,A
Evgeny Romanov,2392,9,214,39,53,14,A
Evgeny Romanov,2392,9,214,34,53,19,D
Valeri Yandemirov,2494,9,214,43,53,10,D
Andrei Kharlov,2593,5,215,29,56,27,D
Manuel Perez Candelario,2496,8,215,50,48,-2,D
Nikita Meskovs,2124,7,216,63,46,-17,A
Joel Akesson,2344,7,216,40,57,17,D
Maksim Shapovalenko,2230,7,216,63,49,-14,C
Valeri Yandemirov,2494,9,216,46,55,9,A
Alexei Shirov,2720,7,216,24,68,44,D
Manuel Perez Candelario,2496,8,216,58,49,-9,A
Heikki Lehtinen,2332,6,217,33,53,20,A
Heikki Lehtinen,2332,6,217,33,54,21,D
Evgenij Agrest,2535,8,217,42,50,8,A
Evgenij Agrest,2535,8,217,33,53,20,C
Evgenij Agrest,2535,8,217,37,53,16,D
Joel Akesson,2344,7,217,48,52,4,A
Joel Akesson,2344,7,217,41,55,14,C
Jonas Barkhagen,2458,7,218,28,56,28,D
Anders Larsson,2257,8,218,44,47,3,A
Anders Larsson,2257,8,218,36,51,15,C
Anders Larsson,2257,8,218,36,50,14,D
Andrei Kharlov,2593,5,218,37,53,16,A
Dmitry Andreikin,2418,8,218,37,53,16,A
Dmitry Andreikin,2418,8,218,32,55,23,D
Igor Yagupov,2441,5,218,34,59,25,C
Inigo Argandona Riveiro,2396,7,218,38,56,18,C
Alexei Shirov,2720,7,218,33,61,28,A
Viktor Laznicka,2596,5,218,24,60,36,C
Jonas Barkhagen,2458,7,220,27,60,33,C
Jonas Barkhagen,2458,7,221,34,56,22,A
Tom Wedberg,2530,8,222,30,53,23,D
Tom Wedberg,2530,8,223,41,56,15,A
Valerij Popov,2568,6,223,32,53,21,D
Lluis Oms Fuentes,2327,6,224,44,54,10,B
Olga Alexandrova,2371,9,224,42,50,8,A
Olga Alexandrova,2371,9,224,34,56,22,C
Olga Alexandrova,2371,9,224,39,53,14,D
Aleksa Strikovic,2535,8,224,36,56,20,A
Aleksa Strikovic,2535,8,224,29,58,29,C
Aleksa Strikovic,2535,8,224,27,61,34,D
Artur Yusupov,2592,8,225,26,58,32,C
Artur Yusupov,2592,8,225,28,58,30,D
Valerij Popov,2568,6,225,33,54,21,C
Pablo Glavina,2418,7,225,36,57,21,A
Pablo Glavina,2418,7,225,39,54,15,B
Pablo Glavina,2418,7,225,39,54,15,C
Pablo Glavina,2418,7,225,39,56,17,D
Evgeny Gleizerov,2579,8,227,44,59,15,A
Evgeny Gleizerov,2579,8,227,38,65,27,C
Evgeny Gleizerov,2579,8,227,39,66,27,D
Petr Kiriakov,2568,8,227,44,46,2,A
Petr Kiriakov,2568,8,227,43,49,6,D
Evgeny Gleizerov,2579,8,228,37,63,26,B
Artur Yusupov,2592,8,228,34,57,23,A
Dmitry Bocharov,2567,9,228,45,56,11,D
Jesus Javier Cortes Bueno,2314,7,228,39,57,18,A
Jesus Javier Cortes Bueno,2314,7,228,37,55,18,B
Jesus Javier Cortes Bueno,2314,7,228,38,54,16,C
Jesus Javier Cortes Bueno,2314,7,228,39,53,14,D
Valerij Popov,2568,6,229,37,53,16,A
Anders Livner,2281,6,229,31,54,23,D
Tomi Nyback,2579,8,229,26,61,35,D
Alexey Korotylev,2596,6,229,44,52,8,B
Dmitry Bocharov,2567,9,229,41,59,18,C
Stuart C Conquest,2530,7,229,41,53,12,C
Stuart C Conquest,2530,7,229,41,55,14,D
Anders Livner,2281,6,230,34,55,21,A
Tomi Nyback,2579,8,231,26,61,35,C
Pia Cramling,2524,9,233,22,65,43,D
Evgeniy Najer,2606,7,233,40,54,14,C
Evgeniy Najer,2606,7,233,39,53,14,D
Dmitry Bocharov,2567,9,233,51,55,4,A
Tomi Nyback,2579,8,234,35,59,24,A
Sergey Ionov,2538,7,234,55,49,-6,C
Evgeniy Najer,2606,7,234,46,52,6,A
Stuart C Conquest,2530,7,234,46,53,7,A
Tomi Nyback,2458,7,236,46,61,15,D
Jose Miguel Ugalde Ezcurra,2215,9,236,37,55,18,C
Jose Miguel Ugalde Ezcurra,2215,9,236,38,53,15,D
Johan Furhoff,2302,6,237,43,53,10,A
Johan Furhoff,2302,6,237,36,57,21,C
Johan Furhoff,2302,6,237,31,61,30,D
Tomi Nyback,2458,7,237,48,60,12,C
Pia Cramling,2524,9,237,28,60,32,A
Pia Cramling,2524,9,237,22,67,45,C
Nils Grandelius,2371,7,237,34,54,20,D
Denis Yevseev,2580,9,237,39,48,9,A
Denis Yevseev,2580,9,237,36,53,17,C
Denis Yevseev,2580,9,237,35,54,19,D
Sergei Yudin,2425,8,237,30,58,28,D
Jose Miguel Ugalde Ezcurra,2215,9,237,39,55,16,A
Jesus Cortes Lizano,2270,8,238,58,51,-7,D
Irina Tetenkina,2292,7,239,38,48,10,D
Jesus Cortes Lizano,2270,8,239,59,49,-10,C
Nils Grandelius,2371,7,240,42,53,11,A
Nils Grandelius,2371,7,240,35,53,18,C
Sergei Yudin,2425,8,240,36,54,18,A
Jesus Cortes Lizano,2270,8,240,57,50,-7,B
Joseph G. Gallagher,2526,7,241,40,55,15,D
Irina Tetenkina,2292,7,241,34,48,14,A
Rodrigo Vasquez Schroeder,2481,5,241,36,51,15,C
Ruslan Shcherbakov,2564,9,241,37,56,19,C
Ruslan Shcherbakov,2564,9,241,36,55,19,D
Jesus Cortes Lizano,2270,8,241,60,47,-13,A
Tomi Nyback,2458,7,242,50,58,8,A
Joseph G. Gallagher,2526,7,243,40,58,18,C
Ruslan Shcherbakov,2564,9,243,38,56,18,A
Adrian Villuendas Valero,2176,7,243,44,56,12,A
Joseph G. Gallagher,2526,7,244,42,55,13,A
Yuri Yakovich,2596,8,244,31,53,22,A
Yuri Yakovich,2596,8,244,30,53,23,D
Adrian Villuendas Valero,2176,7,244,37,57,20,C
Adrian Villuendas Valero,2176,7,244,38,57,19,D
Eric Lobron,2500,7,245,39,56,17,C
David Berczes,2429,9,247,30,59,29,D
Garry Kasparov,2815,9,247,34,56,22,C
Garry Kasparov,2815,9,247,35,54,19,D
Axel Ornstein,2426,7,248,28,57,29,C
Axel Ornstein,2426,7,248,31,56,25,D
Igor Kurnosov,2543,7,249,36,53,17,C
Garry Kasparov,2815,9,249,44,52,8,B
Stellan Brynell,2524,8,250,26,56,30,A
Stellan Brynell,2524,8,250,25,55,30,D
Axel Ornstein,2426,7,250,33,53,20,A
David Berczes,2429,9,250,30,60,30,C
Borja Zamarbide Inarrea,2202,8,250,71,42,-29,D
Garry Kasparov,2815,9,251,46,52,6,A
Jasmin Bejtovic,2353,7,252,41,51,10,C
Jasmin Bejtovic,2353,7,252,42,50,8,D
David Berczes,2429,9,252,35,56,21,A
David Berczes,2429,9,252,31,58,27,B
Maxim Novikov,2426,8,252,47,53,6,D
Borja Zamarbide Inarrea,2202,8,252,69,41,-28,A
Borja Zamarbide Inarrea,2202,8,252,68,42,-26,B
Borja Zamarbide Inarrea,2202,8,252,70,41,-29,C
Florian Handke,2504,8,253,47,55,8,D
Florian Handke,2504,8,254,44,57,13,C
Jasmin Bejtovic,2353,7,255,44,50,6,A
Pavel Maletin,2423,8,255,28,58,30,D
Florian Handke,2504,8,256,50,51,1,A
Pavel Maletin,2423,8,256,34,54,20,A
Lars Karlsson,2488,7,257,36,54,18,D
Semen I. Dvoirys,2612,8,257,36,54,18,D
Semen I. Dvoirys,2612,8,258,41,55,14,A
Judit Polgar,2630,7,258,38,59,21,A
Judit Polgar,2630,7,258,33,64,31,D
Anton Frisk Kockum,2206,6,259,38,53,15,D
Lars Karlsson,2488,7,259,35,56,21,C
Sergej Silivanov,2291,8,259,53,50,-3,C
Pia Cramling,2508,6,260,41,49,8,C
Emanuel Berg,2535,8,260,24,66,42,C
Emanuel Berg,2535,8,260,27,64,37,D
Anton Frisk Kockum,2206,6,260,38,52,14,A
Anton Frisk Kockum,2206,6,260,36,55,19,C
Lars Karlsson,2488,7,260,38,56,18,A
Andrey Shariyazdanov,2575,8,260,27,57,30,D
Alexander Motylev,2651,5,260,25,58,33,B
Sergei Rublevsky,2671,8,260,33,56,23,A
Sergei Rublevsky,2671,8,260,28,60,32,D
Lluis Oms Fuentes,2327,7,260,45,55,10,D
Emanuel Berg,2535,8,261,28,64,36,A
Maxim Novikov,2426,8,261,56,47,-9,A
Mikhail Ulibin,2581,9,262,35,62,27,D
Eva Jiretorn,2122,7,262,49,53,4,D
Axel Smith,2458,7,262,41,49,8,C
Andrey Shariyazdanov,2575,8,262,31,53,22,C
Ralf Akesson,2440,8,263,44,49,5,D
Andrey Shariyazdanov,2575,8,263,30,58,28,B
Olli Sisatto,2285,6,264,42,55,13,C
Olli Sisatto,2285,6,264,45,53,8,D
Andrey Shariyazdanov,2575,8,264,33,53,20,A
Mikhail Ulibin,2581,9,265,39,60,21,C
Olli Sisatto,2285,6,265,46,52,6,A
Eva Jiretorn,2122,7,265,45,53,8,C
Ralf Akesson,2440,8,266,51,50,-1,A
Radmilo Dimitrijevic,2093,8,266,45,48,3,C
Radmilo Dimitrijevic,2093,8,266,46,50,4,D
Maksim Shapovalenko,2230,9,266,62,50,-12,D
Lluis Oms Fuentes,2327,7,266,46,56,10,C
Thomas Ernst,2448,9,268,44,54,10,D
Erik Hedman,2396,7,268,29,55,26,D
Sergej Silivanov,2291,9,268,58,47,-11,D
Mikhail Ulibin,2581,9,269,38,60,22,B
Erik Hedman,2396,7,269,31,55,24,C
Mikhail Ulibin,2581,9,270,41,59,18,A
Radmilo Dimitrijevic,2093,8,270,46,46,0,B
Eva Jiretorn,2122,7,270,52,52,0,A
Radmilo Dimitrijevic,2093,8,271,45,47,2,A
Erik Hedman,2396,7,271,36,54,18,A
Sergej Silivanov,2291,9,271,55,49,-6,A
Evgeny Shaposhnikov,2559,8,273,32,58,26,A
Evgeny Shaposhnikov,2559,8,273,32,57,25,C
Evgeny Shaposhnikov,2559,8,273,29,60,31,D
Maksim Shapovalenko,2230,9,273,67,48,-19,A
Sergey Ionov,2538,9,274,49,51,2,D
Inigo Argandona Riveiro,2396,9,275,36,57,21,D
Azer Mirzoev,2543,8,275,33,52,19,D
Bengt Lindberg,2382,8,276,43,52,9,C
Bengt Lindberg,2382,8,276,43,51,8,D
Thomas Ernst,2448,9,276,40,52,12,A
Mikhail Ulibin,2579,5,276,24,57,33,C
Ildar Khairullin,2481,9,276,38,56,18,A
Ildar Khairullin,2481,9,276,35,59,24,D
Azer Mirzoev,2543,8,276,35,50,15,C
Bengt Lindberg,2439,9,277,37,51,14,D
Lluis Oms Fuentes,2327,7,277,46,51,5,A
Bengt Lindberg,2382,8,278,46,53,7,B
Bengt Lindberg,2439,9,278,38,51,13,C
Sergey Ionov,2538,9,278,56,48,-8,A
Bengt Lindberg,2439,9,279,43,48,5,A
Bengt Lindberg,2439,9,280,36,51,15,B
Bengt Lindberg,2382,8,281,51,48,-3,A
Alexander Grischuk,2704,9,281,37,47,10,C
Alexander Grischuk,2704,9,281,36,49,13,D
Azer Mirzoev,2543,8,281,38,47,9,A
Rasmus Holving,2210,7,282,42,54,12,C
Rasmus Holving,2210,7,282,44,51,7,D
Slavko Cicak,2574,8,282,34,57,23,C
Slavko Cicak,2574,8,282,32,57,25,D
Evgeny Alekseev,2616,9,282,42,54,12,D
Axel Smith,2458,8,283,41,51,10,D
Evgeny Alekseev,2616,9,283,39,54,15,A
Sergei Iskusnyh,2507,9,283,48,58,10,D
Alexander Grischuk,2704,9,283,45,45,0,A
Inigo Argandona Riveiro,2396,9,283,47,47,0,A
Rasmus Holving,2210,7,285,42,51,9,A
Sergei Iskusnyh,2507,9,285,50,53,3,A
Vladimir Belov,2543,8,285,40,54,14,A
Vladimir Belov,2543,8,285,29,56,27,D
Valerij Filippov,2639,8,285,36,52,16,D
Emanuel Berg,2583,9,286,39,53,14,C
Emanuel Berg,2583,9,286,39,54,15,D
Sergey Ivanov,2546,8,286,34,50,16,C
Sergey Ivanov,2546,8,286,33,52,19,D
Dmitry Jakovenko,2582,8,286,34,61,27,C
Dmitry Jakovenko,2582,8,286,31,62,31,D
Slavko Cicak,2574,8,287,39,56,17,A
Sergey Ivanov,2546,8,287,38,47,9,A
Valerij Filippov,2639,8,287,41,53,12,C
Emanuel Berg,2583,9,288,41,54,13,A
Emanuel Berg,2583,9,288,38,55,17,B
Viktor Laznicka,2596,7,289,32,58,26,D
Alexey Kuzmin,2567,8,290,26,63,37,D
Dmitry Jakovenko,2582,8,290,40,56,16,A
Nikolay Nazarov,2256,9,290,46,49,3,D
Axel Smith,2458,8,291,43,51,8,A
Konstantin Sakaev,2665,9,291,27,57,30,D
Alexey Kuzmin,2567,8,291,25,64,39,C
Nikolay Nazarov,2256,9,291,44,51,7,C
Valerij Filippov,2639,8,291,39,55,16,A
Christian Bauer,2585,7,291,29,64,35,D
Oleg Nikolenko,2520,7,292,33,57,24,D
Alexey Kuzmin,2567,8,292,32,59,27,A
Viktor Laznicka,2596,7,292,41,56,15,A
Oleg Nikolenko,2520,7,293,31,58,27,C
Eric Lobron,2500,9,294,37,56,19,D
Alexander Morozevich,2747,7,294,23,64,41,D
Oleg Nikolenko,2520,7,295,32,56,24,A
Oleg Nikolenko,2520,7,295,31,57,26,B
Nikolay Nazarov,2256,9,295,55,47,-8,A
Eric Lobron,2500,9,296,41,50,9,A
Mikko Niemi,2178,8,296,38,50,12,D
Konstantin Sakaev,2665,9,296,30,50,20,A
Pia Cramling,2508,7,298,43,50,7,D
Johan Henriksson,2197,7,298,41,53,12,D
Mikko Niemi,2178,8,298,44,52,8,A
Denis Frolov,2401,9,298,39,46,7,A
Denis Frolov,2401,9,298,37,51,14,B
Denis Frolov,2401,9,298,36,51,15,C
Denis Frolov,2401,9,298,36,51,15,D
Santiago Gonzalez De La Torre,2357,8,298,57,48,-9,C
Dmitry Jakovenko,2671,7,298,27,60,33,D
Johan Henriksson,2197,7,299,42,51,9,C
Christian Bauer,2585,7,299,35,61,26,A
Pia Cramling,2508,7,300,50,48,-2,A
Johan Furhoff,2392,9,300,52,53,1,D
Johan Henriksson,2197,7,300,43,53,10,A
Johan Furhoff,2392,9,301,50,54,4,C
Alexander Morozevich,2747,7,301,35,55,20,A
Tommi Luukkonen,2244,8,303,48,55,7,C
Tommi Luukkonen,2244,8,303,49,55,6,D
Claude Landenbergue,2446,9,303,47,54,7,C
Claude Landenbergue,2446,9,303,46,50,4,D
Eric Prie,2516,9,304,47,53,6,D
Csaba Berczes,2420,9,305,37,49,12,C
Csaba Berczes,2420,9,305,36,51,15,D
Robert Fontaine,2572,9,305,41,59,18,D
Tommi Luukkonen,2244,8,305,54,52,-2,A
Tommi Luukkonen,2244,8,305,46,56,10,B
Johan Furhoff,2392,9,305,55,49,-6,A
Valerij Popov,2547,8,305,26,61,35,D
Pavel V. Tregubov,2636,8,305,27,60,33,D
Eric Prie,2516,9,305,45,54,9,C
Csaba Berczes,2420,9,306,45,48,3,A
Pavel V. Tregubov,2636,8,306,29,58,29,A
Evgenij Gajsin,2404,9,306,36,59,23,D
Claude Landenbergue,2446,9,306,44,48,4,A
Eric Prie,2516,9,306,48,52,4,A
Valerij Popov,2547,8,307,32,57,25,A
Ernesto Inarkiev,2595,9,308,29,56,27,C
Oleg Loskutov,2433,9,309,35,58,23,C
Ernesto Inarkiev,2595,9,309,31,55,24,D
Dmitry Jakovenko,2671,7,309,41,55,14,A
Robert Fontaine,2572,9,310,39,59,20,C
Sampsa Nyysti,2363,8,310,33,55,22,D
Oleg Loskutov,2433,9,310,34,59,25,D
Evgenij Gajsin,2404,9,310,38,57,19,C
Ernesto Inarkiev,2595,9,310,34,51,17,A
Oleg Loskutov,2433,9,311,38,57,19,A
Kaido Kulaots,2533,8,312,28,62,34,D
Sampsa Nyysti,2363,8,312,35,54,19,C
Evgenij Gajsin,2404,9,312,40,58,18,A
Rodrigo Vasquez Schroeder,2481,7,313,37,50,13,D
Vladimir Dobrov,2477,9,313,45,52,7,D
Rodrigo Vasquez Schroeder,2481,7,314,43,50,7,A
Tiger Hillarp Persson,2535,9,314,41,48,7,D
Sampsa Nyysti,2363,8,314,40,52,12,A
Kaido Kulaots,2533,8,315,36,59,23,C
Tiger Hillarp Persson,2535,9,315,49,44,-5,A
Tiger Hillarp Persson,2535,9,315,45,46,1,B
Tiger Hillarp Persson,2535,9,315,43,49,6,C
Robert Fontaine,2572,9,316,46,52,6,A
Kjetil Stokke,2372,8,316,36,53,17,D
Vladimir Dobrov,2477,9,316,52,51,-1,A
Kjetil Stokke,2372,8,318,34,56,22,B
Kjetil Stokke,2372,8,318,38,52,14,C
Victor Nithander,2339,8,318,36,49,13,D
Kaido Kulaots,2533,8,318,37,57,20,A
Kjetil Stokke,2372,8,319,37,54,17,A
Juan Manuel Bellon Lopez,2455,9,319,41,60,19,D
Evgeny Bareev,2715,10,319,29,56,27,C
Evgeny Bareev,2715,10,319,30,57,27,D
Victor Nithander,2339,8,320,33,51,18,C
Juan Manuel Bellon Lopez,2455,9,320,41,57,16,A
Victor Nithander,2339,8,321,36,49,13,A
Victor Nithander,2339,8,321,31,53,22,B
Ralf Akesson,2470,9,321,46,53,7,D
Emil Hermansson,2370,9,322,30,53,23,D
Juan Manuel Bellon Lopez,2428,8,323,35,59,24,C
Juan Manuel Bellon Lopez,2428,8,323,36,58,22,D
Evgeny Bareev,2715,10,323,31,55,24,B
Ralf Akesson,2470,9,324,43,53,10,C
Evgeny Bareev,2715,10,324,35,53,18,A
Ivan Salgado Lopez,2425,9,324,53,55,2,D
Ralf Akesson,2470,9,325,49,50,1,A
Alexander Rustemov,2593,9,325,30,54,24,C
Alexander Rustemov,2593,9,325,28,54,26,D
Ivan Salgado Lopez,2425,9,325,53,54,1,C
Emil Hermansson,2370,9,326,30,54,24,A
Alexei Kornev,2582,8,327,34,56,22,A
Alexei Kornev,2582,8,327,33,56,23,D
David Monell Camarasa,2212,9,327,39,55,16,C
David Monell Camarasa,2212,9,327,38,54,16,D
Juan Manuel Bellon Lopez,2428,8,328,42,54,12,A
Alexander Rustemov,2593,9,328,38,50,12,A
David Monell Camarasa,2212,9,328,41,52,11,A
Aurelio Vila Dupla,2208,9,329,62,47,-15,A
Aurelio Vila Dupla,2208,9,329,59,49,-10,C
Aurelio Vila Dupla,2208,9,329,57,50,-7,D
Ivan Salgado Lopez,2425,9,329,50,50,0,A
Rune Djurhuus,2479,8,330,28,58,30,C
Rune Djurhuus,2479,8,330,30,58,28,D
Rune Djurhuus,2479,8,331,33,56,23,A
Rune Djurhuus,2479,8,331,30,58,28,B
Tamas Ruck,2343,7,332,46,52,6,A
Tamas Ruck,2343,7,332,44,52,8,C
Tamas Ruck,2343,7,332,46,50,4,D
Denis Khismatullin,2537,9,334,55,56,1,D
Santiago Gonzalez De La Torre,2357,9,334,57,49,-8,D
Denis Khismatullin,2537,9,336,56,57,1,C
Ian Nepomniachtchi,2445,9,336,38,54,16,D
Santiago Gonzalez De La Torre,2357,9,336,51,48,-3,A
Igor Yagupov,2441,8,337,36,59,23,A
Igor Yagupov,2441,8,337,32,58,26,D
Ian Nepomniachtchi,2445,9,339,41,52,11,A
Peter Svidler,2735,10,340,28,60,32,D
Denis Khismatullin,2537,9,340,61,54,-7,A
Peter Svidler,2735,10,341,29,57,28,B
Peter Svidler,2735,10,341,31,55,24,C
Ivan Farago,2475,9,343,32,54,22,A
Ivan Farago,2475,9,343,29,54,25,C
Ivan Farago,2475,9,343,28,55,27,D
Peter Svidler,2735,10,343,33,54,21,A
Maxim Sorokin,2554,8,344,27,58,31,D
Maxim Sorokin,2554,8,347,30,54,24,A
Krisztian Szabo,2500,8,351,52,50,-2,D
Andrei Belozerov,2552,8,351,27,49,22,A
Andrei Belozerov,2552,8,351,25,53,28,C
Andrei Belozerov,2552,8,351,25,54,29,D
Thomas Ernst,2450,8,353,29,51,22,D
Krisztian Szabo,2500,8,355,51,49,-2,C
Thomas Ernst,2450,8,357,33,48,15,A
Sergey Ivanov,2541,9,358,35,54,19,C
Sergey Ivanov,2541,9,358,34,54,20,D
Igor Kurnosov,2543,9,359,33,56,23,D
Miguel Navarro Cia,2297,8,359,41,57,16,D
Sergey Ivanov,2561,9,360,30,62,32,D
Vladimir Burmakin,2571,9,360,39,50,11,A
Pavel Smirnov,2601,8,361,25,61,36,D
Krisztian Szabo,2500,8,362,59,48,-11,A
Sergey Ivanov,2541,9,362,45,48,3,A
Pavel Smirnov,2601,8,362,30,61,31,A
Pavel Smirnov,2601,8,362,29,62,33,C
Sergey Volkov,2629,9,363,41,50,9,D
Vladimir Burmakin,2571,9,363,35,59,24,D
Miguel Navarro Cia,2297,8,363,40,57,17,C
Sergey Ivanov,2561,9,364,33,58,25,A
Sergey I. Solovjov,2458,9,364,40,58,18,D
Igor Kurnosov,2543,9,364,39,52,13,A
Sergey Volkov,2629,9,364,40,52,12,C
Vladimir Burmakin,2571,9,364,36,56,20,C
Sergey I. Solovjov,2458,9,365,40,56,16,C
Miguel Navarro Cia,2297,8,365,40,52,12,A
Alexander Riazantsev,2556,8,368,32,53,21,D
Sergey I. Solovjov,2458,9,368,44,55,11,A
Sergey Volkov,2629,9,369,43,48,5,A
Alexander Riazantsev,2556,8,372,31,53,22,C
Lars Bo Hansen,2576,9,375,27,57,30,D
Alexander Riazantsev,2556,8,377,35,50,15,A
Mikhail Kobalia,2630,8,377,41,50,9,D
Lars Bo Hansen,2576,9,378,28,56,28,C
Lars Bo Hansen,2576,9,380,32,52,20,B
Mikhail Kobalia,2630,8,380,38,52,14,C
Lars Bo Hansen,2576,9,382,34,55,21,A
Mikhail Kobalia,2630,8,384,44,50,6,A
Alexandre Danin,2332,9,385,40,55,15,D
Valery A Loginov,2516,9,387,31,58,27,D
Alexandre Danin,2332,9,388,47,53,6,A
